name,sub_cpo_id,external_id
JOINON,IT*JOI,IT*JOI
JUFI Group s.r.o,SK*GOE,SK*GOE
K-Auto Oy,FI*KCH,FI*KCH
KELAG-Kärntner Elektrizitäts-AG (CPO),AT*KEL,AT*KEL
Leipziger Stadtwerke,+49*86,+49*861
Leipziger Stadtwerke,DE*961,+49*861
Liechtensteinische Kraftwerke,LI*LKW,LI*LKW
Liikennevirta Oy (CPO),AT*WSG,FI*001
Liikennevirta Oy (CPO),CH*GOF,FI*001
Liikennevirta Oy (CPO),CH*SWI,FI*001
Liikennevirta Oy (CPO),DE*GMS,FI*001
Liikennevirta Oy (CPO),DE*GNT,FI*001
Liikennevirta Oy (CPO),DE*GUE,FI*001
Liikennevirta Oy (CPO),DE*PFW,FI*001
Liikennevirta Oy (CPO),DE*VIR,FI*001
Liikennevirta Oy (CPO),DK*EDR,FI*001
Liikennevirta Oy (CPO),FI*001,FI*001
Liikennevirta Oy (CPO),FR*E10,FI*001
Liikennevirta Oy (CPO),FR*E12,FI*001
Liikennevirta Oy (CPO),FR*S08,FI*001
Liikennevirta Oy (CPO),FR*S37,FI*001
Liikennevirta Oy (CPO),FR*S41,FI*001
Liikennevirta Oy (CPO),FR*S51,FI*001
Liikennevirta Oy (CPO),FR*S55,FI*001
Liikennevirta Oy (CPO),FR*WAT,FI*001
Liikennevirta Oy (CPO),FR*ZAR,FI*001
Liikennevirta Oy (CPO),FR*ZBK,FI*001
Liikennevirta Oy (CPO),FR*ZHO,FI*001
Liikennevirta Oy (CPO),FR*ZIM,FI*001
Liikennevirta Oy (CPO),FR*ZKA,FI*001
Liikennevirta Oy (CPO),FR*ZMA,FI*001
Liikennevirta Oy (CPO),FR*ZP1,FI*001
Liikennevirta Oy (CPO),FR*ZPE,FI*001
Liikennevirta Oy (CPO),FR*ZSU,FI*001
Liikennevirta Oy (CPO),FR*ZTL,FI*001
Liikennevirta Oy (CPO),IT*EON,FI*001
Liikennevirta Oy (CPO),NO*EON,FI*001
Liikennevirta Oy (CPO),SE*EDO,FI*001
Liikennevirta Oy (CPO),SE*EDR,FI*001
Liikennevirta Oy (CPO),SE*OKQ,FI*001
Liikennevirta Oy (CPO),DE*WAG,FI*001
LINZ STROM GmbH,AT*LAG,AT*LAG
m8mit,DE*MSU,DE*MSU
m8mit,DE*SBW,DE*MSU
m8mit,DE*SZE,DE*MSU
MAHLE GmbH,DE*BIG,DE*BIG
MAINGAU Energie GmbH,DE*MEG,DE*MEG
MENNEKES Digital Services GmbH,DE*MDS,DE*MDS
Mer Germany GmbH,AT*MER,DE*MER
Mer Germany GmbH,DE*MER,DE*MER
Mer Sweden AB,SE*CLE,SE*CLE
Monta ApS,DK*MON,DK*MON
MOON operated by VKW (CPO AT),AT*MOO,AT*MOO
MOON operated by VKW (CPO DE),DE*MOO,DE*MOO
Move Eletromobilidade,BR*M77,BR*M77
MOVE Mobility AG (CCI),CH*CCC,CH*CCI
MOVE Mobility AG (CCI),CH*CCI,CH*CCI
Neogy srl,IT*ASD,IT*ASM
Neogy srl,IT*ASM,IT*ASM
Neogy srl,IT*ECO,IT*ASM
Neogy srl,IT*GAU,IT*ASM
NLcharge,NL*NLC,NL*NLC
ÖAMTC Betriebe GmbH,AT*120,AT*120
Osprey Charging Network Ltd,GB*OSP,GB*OSP
Petrol d.d.,SI*PET,SI*PET
Petrol d.o.o.,HR*PET,HR*PET
PLUG'n CHARGE GmbH,DE*PNC,DE*PNC
Porsche Smart Mobility GmbH,AT911,DE911
Porsche Smart Mobility GmbH,BE911,DE911
Porsche Smart Mobility GmbH,CH911,DE911
Porsche Smart Mobility GmbH,DE911,DE911
Porsche Smart Mobility GmbH,ES911,DE911
Porsche Smart Mobility GmbH,FR911,DE911
Porsche Smart Mobility GmbH,GB911,DE911
Porsche Smart Mobility GmbH,IT911,DE911
Porsche Smart Mobility GmbH,LU911,DE911
Porsche Smart Mobility GmbH,NL911,DE911
Porsche Smart Mobility GmbH,NO911,DE911
Porsche Smart Mobility GmbH,SE911,DE911
Powerdale,BE*PWD,BE*PWD
"Pražská energetika, a.s.",CZ*PRE,CZ*PRE
Q1 Energie AG,DE*Q1E,DE*Q1E
Queenergy S.r.l.,IT*BES,IT*BES
Qwello GmbH,DE*QWC,DE*QWC
Qwello GmbH,DE*QRM,DE*QWC
Qwello GmbH,SE*QWC,DE*QWC
reev GmbH,DE*ONE,DE*ONE
Renovatio Asset Management,RO*RNV,RO*RNV
Repower AG,CH*REP,CH*REP
Repower Vendita Italia spa,IT*REV,IT*REV
ROUTE220,IT*220,IT*220
ROUTE220,IT*AEV,IT*220
ROUTE220,IT*BWI,IT*220
ROUTE220,IT*ECM,IT*220
ROUTE220,IT*ETN,IT*220
ROUTE220,IT*EUM,IT*220
ROUTE220,IT*LGL,IT*220
ROUTE220,IT*TDS,IT*220
ROUTE220,IT*TFC,IT*220
ROUTE220,IT*VCS,IT*220
Saascharge International GmbH,CH*SCH,CH*SCH
Salzburg AG,AT*SAG,AT*SAG
SEAK s.r.o.,SK*SEK,SK*SEK
Semel Oy,FI*SEM,FI*SEM
Siemens AG,DE*ECN,DE*ECN
SMATRICS GmbH & Co KG (CPO),AT*SMA,AT*SMA
Sollus Indústria Eletrônica LTDA,BR*INC,BR*INC
Spirii,DK*SPI,DK*SPI
Stadtwerke Stuttgart GmbH,DE*STR,DE*STR
Stromnetz Hamburg GmbH,DE*SNH,DE*SNH
Stromnetz Hamburg GmbH,DE*2GO,DE*SNH
Stromnetz Hamburg GmbH,DE*SAE,DE*SNH
Stromnetz Hamburg GmbH,DE*WWN,DE*SNH
Stromnetz Hamburg GmbH,DE*EZE,DE*SNH
Stromnetz Hamburg GmbH,DE*WLI,DE*SNH
Stromnetz Hamburg GmbH,DE*451,DE*SNH
Stromnetz Hamburg GmbH,DE*NOR,DE*SNH
Stromnetz Hamburg GmbH,DEGLSE,DE*SNH
Stromnetz Hamburg GmbH,DE*HRO,DE*SNH
Stromnetz Hamburg GmbH,DE*ELM,DE*SNH
Stromnetz Hamburg GmbH,DE*SMD,DE*SNH
Stromnetz Hamburg GmbH,DE*SEG,DE*SNH
Stromnetz Hamburg GmbH,DE*BUX,DE*SNH
Stromnetz Hamburg GmbH,DE*HLG,DE*SNH
Stromnetz Hamburg GmbH,DE*GRL,DE*SNH
Stromnetz Hamburg GmbH,DE*VHY,DE*SNH
Stromnetz Hamburg GmbH,DE*NWG,DE*SNH
Stromnetz Hamburg GmbH,DE*WIN,DE*SNH
Stromnetz Hamburg GmbH,DE*288,DE*SNH
Stromnetz Hamburg GmbH,DE*HHE,DE*SNH
Stromnetz Hamburg GmbH,DE*ELB,DE*SNH
Stromnetz Hamburg GmbH,DE*WWO,DE*SNH
Stromnetz Hamburg GmbH,DE*NIH,DE*SNH
Stromnetz Hamburg GmbH,DE*HUS,DE*SNH
Stromnetz Hamburg GmbH,DE*VBE,DE*SNH
Stromnetz Hamburg GmbH,DE*HWI,DE*SNH
Stromnetz Hamburg GmbH,DE*936,DE*SNH
Stromnetz Hamburg GmbH,DE*235,DE*SNH
Stromnetz Hamburg GmbH,DE*SPP,DE*SNH
Stromnetz Hamburg GmbH,DE*EWA,DE*SNH
Stromnetz Hamburg GmbH,DE*SGU,DE*SNH
Stromnetz Hamburg GmbH,DE*SWZ,DE*SNH
Stromnetz Hamburg GmbH,DE*199,DE*SNH
Stromnetz Hamburg GmbH,DE*PHL,DE*SNH
Stromnetz Hamburg GmbH,DE*GVM,DE*SNH
Stromnetz Hamburg GmbH,DE*MSW,DE*SNH
Stromnetz Hamburg GmbH,DE*221,DE*SNH
Stromnetz Hamburg GmbH,DE*VNW,DE*SNH
Stromnetz Hamburg GmbH,DE*FSW,DE*SNH
Stromnetz Hamburg GmbH,DE*029,DE*SNH
Stromnetz Hamburg GmbH,DE*TET,DE*SNH
Stromnetz Hamburg GmbH,DE*WPK,DE*SNH
Stromnetz Hamburg GmbH,DE*STB,DE*SNH
Stromnetz Hamburg GmbH,DE*ECH,DE*SNH
Stromnetz Hamburg GmbH,DE*LBZ,DE*SNH
Taubert Consulting GmbH,DE*TTC,DE*TTC
Taubert Consulting GmbH,AT*NLE,DE*TTC
Taubert Consulting GmbH,DE*BED,DE*TTC
Taubert Consulting GmbH,DE*BWN,DE*TTC
Taubert Consulting GmbH,DE*EES,DE*TTC
Taubert Consulting GmbH,DE*EME,DE*TTC
Taubert Consulting GmbH,DE*KOB,DE*TTC
Taubert Consulting GmbH,DE*KUS,DE*TTC
Taubert Consulting GmbH,DE*MVC,DE*TTC
Taubert Consulting GmbH,DE*NSM,DE*TTC
Taubert Consulting GmbH,DE*PDM,DE*TTC
Taubert Consulting GmbH,DE*SYE,DE*TTC
Threeforce B.V.,PL*LMS,PL*LMS
Threeforce B.V. (CPO),DE*CPW,NL*LMS
Threeforce B.V. (CPO),BE*EMY,NL*LMS
Threeforce B.V. (CPO),DE*EDK,NL*LMS
Threeforce B.V. (CPO),FR*LMS,NL*LMS
Threeforce B.V. (CPO),NL*LMS,NL*LMS
TIWAG-Tiroler Wasserkraft AG,AT*TWG,AT*TWG
ubitricity Gesellschaft für verteilte Energiesysteme mbH,GB*UBI,DEUBI
Ultra-Fast Charging Venture Scandinavia ApS,DK*UFC,DK*UFC
Ultra-Fast Charging Venture Scandinavia ApS,NO*UFC,DK*UFC
Ultra-Fast Charging Venture Scandinavia ApS,SE*UFC,DK*UFC
Virtual Charging Point CPO,DESTA,DESTA
Volkswagen Group Charging GmbH,DE*GCE,DE*GCE
Volkswagen Group Charging GmbH,ES*GCE,DE*GCE
Volkswagen Group Charging GmbH,FR*GCE,DE*GCE
VW Kraftwerk GmbH,DE*VWK,DE*VWK
wallbe GmbH,DE*WLB,DE*WLB
wallbe GmbH,DE*456,DE*WLB
wallbe GmbH,DE*SKI,DE*WLB
wallbe GmbH,GR*ELM,DE*WLB
Wenar Sp. z o.o.,PL*WEN,PL*WEN
Wien Energie,AT*VIE,AT*VIE
Wien Energie,AT*VNA,AT*VIE
Wirelane GmbH,AT*STA,DE*WLN
Wirelane GmbH,DE*IPG,DE*WLN
Wirelane GmbH,DEIPG,DE*WLN
Wirelane GmbH,DE*STS,DE*WLN
Wirelane GmbH,DE*WLN,DE*WLN
Wirelane GmbH,DEWLN,DE*WLN
"Západoslovenská energetika, a.s.",SK*EON,SK*EON
