"e.xpand Einkaufspreise
e.xpand purchase price",,"AC (netto, inkl. Verwaltungsgebühr)
(excl. taxes, incl. Administration fee)",,,,"DC (netto, inkl. Verwaltungsgebühr)
(excl. taxes, incl. Administration fee)",,,,"EKP Chargecloud
AC (netto, inkl. Verwaltungsgebühr, BKW Zürich)",,,,"EKP Chargecloud
DC (netto, inkl. Verwaltungsgebühr, BKW Zürich)",,,,"AMAG Marge
DC (netto, inkl. Verwaltungsgebühr, BKW Zürich)",,,,"Verkaufspreis AMAG 
AC, inkl. CH MWSt.",,,,"Verkaufspreis AMAG
DC, inkl. CH MWSt.",,,,,Off. Wechselkurs,1.0254,01.06.22,
Operator,external ID, Session fee , kwh , min ,Fair Use [min], Session fee , kwh , min ,Fair Use [min],Session fee,kwh,min,Fair Use [min],Session fee,kwh,min,Fair Use [min],Session fee,kwh,min,Fair Use [min],Session fee,kwh,min,Fair Use [min],Session fee,kwh,min,Fair Use [min],,BKW Kurs,1.0174,(Bisheriger Wechselkurs; keine Anpassung),
"Fallbackpreis für neue Standorte
Duferco Energia Spa,IT*DUF, -   € , 0.600 € , -   € ,0, -   € , 0.660 € , -   € ,0,0.000 CHF,0.610 CHF,0.000 CHF,0,0.000 CHF,0.671 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.720 CHF,0.000 CHF,0,1.500 CHF,0.780 CHF,0.000 CHF,0,,,,,
E.ON Drive Germany,DE*EDR, -   € , 0.480 € , 0.120 € ,180, -   € , 0.624 € , 0.120 € ,45,0.000 CHF,0.488 CHF,0.122 CHF,180,0.000 CHF,0.635 CHF,0.122 CHF,45,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.580 CHF,0.140 CHF,180,1.500 CHF,0.740 CHF,0.140 CHF,45,,,,,
E.ON Drive Infrastructure GmbH (innogy SE /Eon Berlin),DE*ICT, -   € , 0.420 € , 0.012 € ,0, -   € , 0.420 € , 0.012 € ,0,0.000 CHF,0.427 CHF,0.012 CHF,0,0.000 CHF,0.427 CHF,0.012 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.520 CHF,0.020 CHF,0,1.500 CHF,0.520 CHF,0.020 CHF,0,,,,,
"E.ON Energie, a.s.",CZ*EON, -   € , 0.576 € , -   € ,0, -   € , 0.780 € , -   € ,0,0.000 CHF,0.586 CHF,0.000 CHF,0,0.000 CHF,0.794 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.690 CHF,0.000 CHF,0,1.500 CHF,0.910 CHF,0.000 CHF,0,,,,,
eCarUp AG,CH*ECU, -   € , 0.624 € , -   € ,0, -   € , 0.660 € , -   € ,0,0.000 CHF,0.635 CHF,0.000 CHF,0,0.000 CHF,0.671 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.740 CHF,0.000 CHF,0,1.500 CHF,0.780 CHF,0.000 CHF,0,,,,,
EDEKA,DE*384, -   € , 0.384 € , -   € ,0, -   € , 0.480 € , -   € ,0,0.000 CHF,0.391 CHF,0.000 CHF,0,0.000 CHF,0.488 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.480 CHF,0.000 CHF,0,1.500 CHF,0.580 CHF,0.000 CHF,0,,,,,
ELMŰ-ÉMÁSZ Solutions Kft.,HU*ELM, -   € , 0.396 € , -   € ,0, -   € , 0.396 € , -   € ,0,0.000 CHF,0.403 CHF,0.000 CHF,0,0.000 CHF,0.403 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.490 CHF,0.000 CHF,0,1.500 CHF,0.490 CHF,0.000 CHF,0,,,,,
EMOBItaly,IT*EMO, -   € , 0.516 € , -   € ,0, -   € , 0.516 € , -   € ,0,0.000 CHF,0.525 CHF,0.000 CHF,0,0.000 CHF,0.525 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.620 CHF,0.000 CHF,0,1.500 CHF,0.620 CHF,0.000 CHF,0,,,,,
EnBW Energie Baden-Württemberg AG,DE*EBW, -   € , 0.432 € , 0.108 € ,120, -   € , 0.660 € , 0.216 € ,30,0.000 CHF,0.440 CHF,0.110 CHF,120,0.000 CHF,0.671 CHF,0.220 CHF,30,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.530 CHF,0.120 CHF,120,1.500 CHF,0.780 CHF,0.240 CHF,30,,,,,
Enel X Italia Srl,IT*ELX, -   € , 0.534 € , 0.096 € ,240, -   € , 0.600 € , 0.180 € ,90,0.000 CHF,0.543 CHF,0.098 CHF,240,0.000 CHF,0.610 CHF,0.183 CHF,90,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.640 CHF,0.110 CHF,240,1.500 CHF,0.720 CHF,0.200 CHF,90,,,,,
